UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
11LA00001,11,X7996,82,.,71,X0000,00,2.0,2,R3,00,2,0,Y,.,012411,24,5,2,3,12.1,5,1,X9814,82,,00,,,,,,MUDLAKELAMBING,H.SPECKLENOSE,1,1,..,.,M,1,,1,1,1,1,1,1.0,69,2011-01-24,0.0,46,124,1,,
11LA00002,11,T2132,45,48,21,X0000,00,3.0,3,02,00,1,7,N,.,013011,30,5,2,1,11.9,2,1,X9815,82,,00,6,31,14,,,MUDLAKELAMBING,LIVE/DEAD,1,1,..,.,M,1,,1,1,1,1,0,0.0,0,2011-01-30,0.0,,,,,
11LA00003,11,T2364,45,.,34,T2648,45,2.0,2,02,02,1,7,Y,.,021511,46,0,0,.,0.0,1,1,.,,,,0,46,27,,,NOSCORESMADEDRY,.,1,1,..,.,M,1,,1,1,1,0,0,0.0,0,2011-02-15,0.048,,,,,
11LA00004,11,T2520,45,.,33,T2482,45,2.0,2,02,02,1,7,Y,.,022311,54,0,0,.,0.0,1,1,.,,,,0,54,27,,,NOSCORESMADEDRY,.,1,1,..,.,M,1,,1,1,1,0,0,0.0,0,2011-02-23,0.019,,,,,
11LA00005,11,X7735,82,.,14,X7402,82,2.0,2,SC,T3,1,0,N,.,030411,63,8,4,2,6.1,5,1,L0240,70,,PC,6,71,46,,,.,E R EYE WEAK,1,1,..,SC,J,1,,1,1,2,1,0,0.0,0,2011-03-04,0.0,,,,,
11LA00006,11,X7735,82,.,14,X7402,82,2.0,2,SC,T3,1,0,N,.,030411,63,8,4,2,7.0,5,1,L0241,70,,PC,6,64,01,X9816,+,.,LIVE/DEAD,1,1,..,SC,J,2,,0,0,0,1,0,0.0,0,2011-03-04,0.0,,,,,
11LA00007,11,T2509,45,.,35,T2718,45,2.0,2,02,02,1,7,Y,.,030411,63,1,0,.,0.0,1,1,.,,,,1,63,44,,,NOSCORESDRY,.,1,1,..,.,J,1,,1,1,1,0,0,0.0,0,2011-03-04,0.019,,,,,
11LA00008,11,T2711,45,.,29,T1926,45,2.0,2,02,02,1,7,Y,.,030411,63,0,0,.,0.0,1,1,.,,,,0,63,27,,,NOSCORESDRY,.,1,1,..,.,J,1,,1,1,1,0,0,0.0,0,2011-03-04,0.024,,,,,
11LA00009,11,T1454,45,48,26,T1609,45,4.0,4,02,02,1,7,N,.,030411,63,1,0,.,0.0,1,1,.,,,,1,63,44,,,NOSCORES,.,1,1,..,.,J,1,,1,1,1,0,0,0.0,0,2011-03-04,0.016,,,,,
11LA00010,11,X9163,82,.,e27,X0000,82,1.0,1,R3,CS,4,0,Y,.,030411,63,9,0,.,0.0,1,1,.,,,,0,63,27,,,NOSCORES,.,1,1,..,MP,J,1,,1,1,3,0,0,0.0,0,2011-03-04,0.0,,,,,
