UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
20LA00001,20,A0640,06,,e1,Z0000,83,1.0,1,30,00,4,0,Y,,021020,41,0,0,.,.,.,0.0,.,.,.,,,,0,41,27,,,LAMBNOTFOUND,NO.DATA,1,1,..,RED,M,1,,1,1,1,0,0,0.0,0,2020-02-10,0.0,,,,,
20LA00002,20,Z5703,83,,15,Z5442,83,2.0,2,97,97,1,0,N,,030720,67,5,3,1,0,2,14.0,6,1,Z7472,83,A,97,,,,,,.,NICE LAMB,1,1,..,,J,1,,1,1,1,1,1,1.0,96,2020-03-07,0.009,56,125,H,,
20LA00003,20,Z1648,83,,17,Z5635,83,7.0,7,97,97,1,0,N,,030720,67,9,0,1,.,.,9.0,6,1,.,,,,1,67,44,,,LambingStress,L/D?,1,1,..,,J,1,,1,1,3,0,,,,2020-03-07,,,,,,
20LA00004,20,Z1648,83,,17,Z5635,83,7.0,7,97,97,1,0,N,,030720,67,9,0,2,.,.,8.0,6,1,.,,,,1,67,44,,,.,L/D?,1,1,..,,J,2,,0,0,0,0,,,,2020-03-07,,,,,,
20LA00005,20,Z1648,83,,17,Z5635,83,7.0,7,97,97,1,0,N,,030720,67,9,0,1,.,.,6.0,6,1,.,,,,1,67,44,,,.,L/D?,1,1,..,,J,3,,0,0,0,0,,,,2020-03-07,,,,,,
20LA00006,20,S1979,12,,e4,Z0000,83,1.0,1,07,97,4,,Y,,030720,67,1,0,1,.,.,8.0,5,1,.,,,,1,67,44,,,.,L/D?,1,1,..,RED,J,1,,1,1,1,0,,,,2020-03-07,0.0,,,,,
20LA00007,20,Z4611,83,,17,Z5635,83,3.0,3,97,97,1,,N,,030820,68,8,3,1,0,2,12.9,6,1,Z7473,83,,97,,,,,,.,NICE LAMB,1,1,..,,J,1,,1,1,2,1,1,1.0,80,2020-03-08,0.016,43,125,H,,
20LA00008,20,Z4611,83,,17,Z5635,83,3.0,3,97,97,1,,N,,030820,68,8,3,2,L,4,14.1,6,2,Z7474,83,,97,,,,,,.,NICE LAMB,1,1,..,,J,2,,0,0,0,1,1,1.0,75,2020-03-08,0.016,53,125,H,,
20LA00009,20,L1896,70,,2,L1934,70,3.0,3,PC,PC,1,0,N,,030820,68,4,0,1,.,.,9.5,5,1,.,,,,1,68,44,,,.,.,1,1,..,OR,J,1,,1,1,2,0,,,,2020-03-08,,,,,,
20LA00010,20,L1896,70,,2,L1934,70,3.0,3,PC,PC,1,0,N,,030820,68,4,0,1,.,.,9.0,5,1,.,,,,1,68,44,,,.,.,1,1,..,OR,J,2,,0,0,0,0,,,,2020-03-08,,,,,,
20LA03066,20,S2229,12,,e5,Z0000,83,1.0,1,07,00,4,,Y,,051120,132,5,2,2,0,2,13.2,1,1,Z8515,83,,00,,,,,,DRY HERD,,1,1,..,,J,1,,1,1,1,1,1,1.0,91,2020-05-11,0.0,24,147,1,,
20LA03067,20,S2008,12,,e1,Z0000,83,1.0,1,07,00,4,0,Y,,051020,131,5,2,3,0,2,15.6,1,1,Z8516,83,,00,,,,,,DRY HERD,,1,1,..,,J,1,,1,1,1,1,1,1.0,88,2020-05-10,0.0,25,147,1,,
20LA03068,20,00000,00,,,Z0000,83,1.0,1,00,00,,,,,051520,136,5,0,2,0,2,11.0,1,1,Z8517,83,,00,3,136,93,,8,DRY HERD,DamNotFound,1,1,..,,J,1,,1,1,1,1,,,,2020-05-15,,,,,,
20LA03069,20,S2113,12,,e5,Z0000,83,1.0,1,43,00,4,,Y,,051520,136,5,2,3,0,2,10.9,1,1,Z8518,83,,00,,,,,,DRYHERD,PINK,1,1,..,,J,1,,1,1,1,1,1,1.0,78,2020-05-15,0.0,19,147,1,,
20LA03070,20,Z6811,83,,e2,Z0000,83,1.0,1,00,00,4,0,Y,,051520,136,5,2,2,0,2,12.0,1,1,Z8519,83,,00,,,,,,.,.,1,1,..,,J,1,,1,1,1,1,1,1.0,89,2020-05-15,0.0,20,147,1,,
20LA03071,20,T7193,45,,e1,Z0000,83,1.0,1,02,00,4,,Y,,051820,139,5,2,2,0,2,15.0,1,1,Z8520,83,,00,7,147,97,,,DRY HERD,.,1,1,..,,J,1,,1,1,1,1,,,,2020-05-18,0.0,21,147,1,,
20LA03072,20,S2034,12,,e5,Z0000,83,1.0,1,42,00,4,0,Y,,052320,144,5,2,3,0,4,12.1,1,1,Z8521,83,,00,,,,,,FROM DRY,.,1,1,..,,J,1,,1,1,1,1,1,1.0,85,2020-05-23,0.0,12,147,1,,
20LA03073,20,00000,00,,,Z0000,83,1.0,1,00,00,,,,,052720,148,5,2,2,0,2,13.6,1,1,Z8522,83,,00,7,194,97,,,FROM DRY,CantCatchDam,1,1,..,,J,1,,1,1,1,1,,,,2020-05-27,,,,,,
20LA03074,20,00000,00,,,Z0000,83,1.0,1,00,00,,,,,052720,148,5,2,2,0,0,12.0,1,1,Z8523,83,,00,,,,,,FROM DRY,CantCatchDam,1,1,..,,J,1,,1,1,1,1,1,1.0,76,2020-05-27,,,,,,
