UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
10LA00001,10,X5968,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,010410,5,5,3,3,12.5,6,4,X8436,82,,00,7,115,97,,,.,PARROT,1,1,..,BRT,J,1,,1,1,1,1,0,0.0,0,2010-01-04,0.0,0,0,,0,0
10LA00002,10,X6790,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,010910,9,5,3,2,12.1,5,1,X8437,82,,00,Z,126,04,,,.,To PP Logan,1,1,..,BRT,J,1,,1,1,1,1,0,0.0,0,2010-01-09,0.0,71,115,,0,0
10LA00003,10,X5703,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,011110,11,2,.,2,4.0,.,.,.,.,,,0,11,27,,,NOMILKSCRTAKN,ABRTDNOJAWSCR,1,1,..,BRT,J,1,,1,1,2,0,0,0.0,0,2010-01-11,0.0,0,0,,0,0
10LA00004,10,X5703,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,011110,11,2,.,1,5.0,.,.,.,.,,,0,11,27,,,ARBTRYCLRSCR,ABRTDNOJAWSCR,1,1,..,BRT,J,2,,0,0,0,0,0,0.0,0,2010-01-11,0.0,0,0,,0,0
10LA00005,10,X5956,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,123109,365,6,.,2,10.0,.,.,.,.,,,0,365,27,,,NOMILKSCRTAKN,ABRTDNOJAWSCR,1,1,..,BRT,J,1,,1,1,2,0,0,0.0,0,2009-12-31,0.0,0,0,,0,0
10LA00006,10,X5956,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,123109,365,2,.,2,7.5,.,.,.,.,,,0,365,27,,,ARBTRYCLRSCR,ABRTDNOJAWSCR,1,1,..,BRT,J,2,,0,0,0,0,0,0.0,0,2009-12-31,0.0,0,0,,0,0
10LA00007,10,X6766,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,011210,12,8,2,3,9.5,5,1,X8439,82,,00,Z,126,04,,,.,To PP Logan,1,1,..,BRT,J,1,,1,1,2,1,0,0.0,0,2010-01-12,0.0,47,115,,0,0
10LA00008,10,X6766,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,011210,12,8,2,2,10.0,5,1,X8440,82,,00,Z,126,04,,,.,To PP Logan,1,1,..,BRT,J,2,,0,0,0,1,0,0.0,0,2010-01-12,0.0,38,115,,0,0
10LA00009,10,X6286,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,011310,13,8,3,2,9.5,5,1,X8441,82,,00,Z,126,04,,,.,To PP Logan,8,2,..,BRT,J,1,,1,1,2,1,0,0.0,0,2010-01-13,0.0,35,115,,0,0
10LA00010,10,X6286,82,00,brt,X0000,82,2.0,2,SR,00,0,0,y,X,011310,13,8,3,2,9.2,5,1,X8442,82,,00,Z,126,04,,,.,E L To PP Logan,2,2,..,BRT,J,2,,0,0,0,1,0,0.0,0,2010-01-13,0.0,33,115,,0,0
