UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
15EW00001,H8838,,.,1,89,e5,W,99,1125,117,0205,2.8,2-,1,Preg,,1,30
15EW00002,H8850,,2ND,1,100,e6,W,117,1125,107,0205,2.2,2-,1,Preg,,1,30
15EW00003,H8858,,.,1,73,e5,W,77,1125,78,0205,2.2,2,1,Preg,,1,30
15EW00004,H8860,,NICE LAMB,1,98,e8,W,110,1125,125,0205,2.0,1-,1,Preg,,1,30
15EW00005,H8863,,NICE LAMB,1,100,e6,W,113,1125,139,0205,2.8,3,1,Preg,,1,30
15EW00006,H8866,,.,1,85,e5,W,81,1125,102,0205,1.8,1-,1,Preg,,1,30
15EW00007,H8872,,.,1,95,e6,W,97,1125,119,0205,2.0,2+,1,Preg,,1,30
15EW00008,H8874,,NICE LAMB,1,102,e8,W,110,1125,124,0205,2.6,2-,1,Preg,,1,30
15EW00009,H8876,,NICE LAMB,1,111,e5,W,121,1125,156,0205,3.0,2+,1,Preg,,1,30
15EW00010,H8882,,BadConformatn,1,92,e5,W,102,1125,130,0205,2.6,1-,1,Preg,,1,30
15EW00011,H8889,,.,1,99,e5,W,113,1125,138,0205,2.4,2+,1,Preg,,1,30
15EW00012,H8892,,.,1,100,e8,W,107,1125,128,0205,2.6,1-,1,Preg,,1,30
15EW00013,H8903,,.,1,94,e5,W,90,1125,99,0205,2.6,2+,1,Open,,1,30
15EW00014,H8908,,.,1,102,e6,W,103,1125,134,0205,3.1,2+,1,Preg,,1,30
15EW00015,H8909,,.,1,92,e7,W,98,1125,109,0205,2.8,2+,1,Open,,1,30
15EW00016,H8914,,.,1,99,e7,W,114,1125,141,0205,2.8,2+,1,Preg,,1,30
15EW00017,H8925,,HAIRY,1,94,e5,W,100,1125,123,0205,2.4,1-,1,Preg,,1,30
15EW00018,H8927,,.,1,88,e6,W,99,1125,128,0205,2.6,4+,1,Preg,,1,30
15EW00019,H8931,,P H,1,100,e7,W,108,1125,130,0205,3.1,3,1,Preg,,1,30
15EW00020,H8933,,P H,1,124,e7,W,136,1125,155,0205,2.2,2+,1,Preg,,1,30
15EW00021,H8935,,.,1,92,e5,W,103,1125,129,0205,2.0,1-,1,Preg,,1,30
15EW00022,H8939,,1ST H,1,96,e6,W,114,1125,135,0205,2.1,3,1,Preg,,1,30
15EW00023,H8946,,PINK,1,96,e8,W,108,1125,124,0205,2.8,2+,1,Preg,,1,30
15EW00024,H8953,,3RD.HAIRY,1,96,e8,W,116,1125,122,0205,2.2,1-,1,Open,,1,30
15EW00025,H8955,,.,1,114,e5,W,123,1125,142,0205,2.8,2,1,Preg,,1,30
15EW00026,H8958,,TerminalOnly,1,99,e6,W,116,1125,131,0205,1.8,2-,1,Preg,,1,30
15EW00027,H8965,,.,1,89,e7,W,102,1125,132,0205,2.2,3,1,Preg,,1,30
15EW00028,H8968,,PINK,1,103,e8,W,117,1125,112,0205,2.2,1-,1,Open,,1,30
15EW00029,H8973,,.,1,109,e7,W,121,1125,139,0205,2.3,1-,1,Preg,,1,30
15EW00030,H8978,,.,1,88,e7,W,99,1125,110,0205,2.1,1-,1,Open,,1,30
15EW00031,H8981,,1ST,1,110,e7,W,111,1125,130,0205,2.0,2+,1,Preg,,1,30
15EW00032,H8988,,NICE LAMB,1,112,e8,W,118,1125,135,0205,2.6,3,1,Preg,,1,30
15EW00033,H8989,,NICE LAMB,1,91,e5,W,110,1125,138,0205,2.4,1-,1,Preg,,1,30
15EW00034,H8990,,NICE LAMB,1,96,e6,W,110,1125,125,0205,2.8,2+,1,Preg,,1,30
15EW00035,H8995,,TerminalOnly,1,91,e8,W,109,1125,101,0205,2.5,1-,1,Open,,1,30
15EW00036,H8997,,.,1,89,e5,W,94,1125,0,,,,,,,1,30
15EW00037,H8999,,HAIRY,1,107,e8,W,117,1125,140,0205,2.6,1-,1,Preg,,1,30
15EW00038,H9002,,.,1,89,e8,W,107,1125,112,0205,2.0,2+,1,Open,,1,30
15EW00039,H9007,,.,1,89,e7,W,83,1125,113,0205,2.6,3,1,Preg,,1,30
15EW00040,H9008,,.,1,89,e8,0,,,0,,,,,,,1,30
15EW00041,H9009,,.,1,108,e6,W,117,1125,139,0205,2.2,2,1,Preg,,1,30
15EW00042,H9012,,.,1,88,e6,W,101,1125,112,0205,2.1,2+,1,Preg,,1,30
15EW00043,H9013,,.,1,96,e7,W,98,1125,114,0205,2.0,1-,1,Open,,1,30
15EW00044,H9019,,.,1,98,e8,W,110,1125,120,0205,2.7,3,1,Preg,,1,30
15EW00045,H9025,,Nice,1,120,e5,W,114,1125,141,0205,3.0,2+,1,Preg,,1,30
15EW00046,H9026,,.,1,127,e6,W,138,1125,172,0205,2.8,2-,1,Preg,,1,30
15EW00047,H9029,,.,1,86,e7,W,85,1125,110,0205,2.0,2,1,Preg,,1,30
15EW00048,H9042,,.,1,94,e7,W,110,1125,130,0205,2.4,3,1,Preg,,1,30
15EW00049,H9045,,NiceForTerm,1,98,e7,W,101,1125,127,0205,2.4,2,1,Preg,,1,30
15EW00050,H9047,,.,1,94,e6,W,98,1125,120,0205,2.4,2,1,Preg,,1,30
15EW00051,H9050,,.,1,97,e6,W,86,1125,99,0205,2.2,4,1,Open,,1,30
15EW00052,H9051,,TerminalOnly,1,96,e8,W,112,1125,135,0205,2.8,2-,1,Preg,,1,30
15EW00053,H9054,,1ST.HAIRY,1,88,e5,W,101,1125,132,0205,2.2,1-,1,Preg,,1,30
15EW00054,H9055,,2ND H,1,86,e6,W,89,1125,114,0205,2.5,3,1,Preg,,1,30
15EW00055,H9060,,.,1,91,e7,W,92,1125,111,0205,2.4,3,1,Preg,,1,30
15EW00056,H9062,,.,1,88,e8,W,111,1125,132,0205,2.5,2,1,Preg,,1,30
15EW00057,H9066,,.,1,99,e5,W,102,1125,131,0205,2.4,3-,1,Preg,,1,30
15EW00058,H9067,,.,1,99,e6,W,105,1125,109,0205,2.4,2,1,Open,,1,30
15EW00059,H9069,,.,1,94,e7,W,95,1125,111,0205,2.4,1-,1,Preg,,1,30
15EW00060,H9072,,HAIRY,1,88,e8,W,96,1125,113,0205,2.8,2+,1,Preg,,1,30
15EW00061,H9074,,HAIRY,1,77,e5,W,66,1125,83,0205,2.4,1-,1,Preg,,1,30
15EW00062,H9094,,1ST P.,1,94,e6,W,101,1125,123,0205,1.6,3+,1,Preg,,1,30
15EW00063,H9095,,2ND.HAIRY,1,107,e5,W,118,1125,140,0205,2.4,3,1,Preg,,1,30
15EW00064,H9105,,HAIRY,1,92,e7,W,99,1125,130,0205,2.2,2+,1,Preg,,1,30
15EW00065,H9108,,2ND,1,91,e6,W,103,1125,114,0205,2.6,1-,1,Preg,,1,30
15EW00066,H9117,,H 2ND,1,106,e7,W,112,1125,134,0205,2.0,3,1,Preg,,1,30
15EW00067,H9129,,.,1,92,e8,W,107,1125,118,0205,2.6,2-,1,Open,,1,30
15EW00068,H9134,,HAIRY,1,87,e5,W,99,1125,113,0205,2.4,1-,1,Preg,,1,30
15EW00069,H9149,,.,1,94,e7,W,94,1125,120,0205,2.4,2,1,Preg,,1,30
15EW00070,H9150,,.,1,103,e7,W,86,1125,109,0205,2.4,1-,1,Open,,1,30
15EW00071,H9158,,HAIRY,1,98,e5,W,106,1125,135,0205,2.4,3,1,Preg,,1,30
15EW00072,H9161,,NICE LAMB,1,101,e6,W,122,1125,0,,,,,,,1,30
15EW00073,H9165,,.,1,106,e8,W,119,1125,141,0205,2.2,2,1,Preg,,1,30
15EW00074,H9167,,.,1,83,e8,W,97,1125,116,0205,2.2,2,1,Preg,,1,30
15EW00075,H9170,,.,1,98,e6,W,108,1125,99,0205,2.6,2-,1,Preg,,1,30
15EW00076,H9171,,.,1,90,e6,W,95,1125,0,,,,,,,1,30
15EW00077,H9172,,.,1,101,e8,W,123,1125,123,0205,3.1,1-,1,Preg,,1,30
15EW00078,H9173,,.,1,91,e5,W,94,1125,121,0205,2.4,2+,1,Preg,,1,30
15EW00079,H9189,,TerminalOnly,1,98,e6,W,110,1125,123,0205,2.2,1-,1,Preg,,2,30
15EW00080,H9190,,.,1,88,e7,W,77,1125,112,0205,2.8,1-,1,Preg,,1,30
15EW00081,H9193,,.,1,95,e5,W,85,1125,119,0205,2.3,2,1,Preg,,1,30
15EW00082,H9194,,TerminalOnly,1,97,e5,W,107,1125,129,0205,2.9,2,1,Preg,,1,30
15EW00083,H9195,,TerminalOnly,1,100,e5,W,99,1125,125,0205,1.8,1-,1,Preg,,1,30
15EW00084,H9199,,.,1,95,e7,W,103,1125,109,0205,,2+,1,Preg,,1,30
15EW00085,H9200,,1ST,1,105,e5,W,113,1125,141,0205,2.8,2+,1,Preg,,1,30
15EW00086,H9211,,.,1,121,e6,W,147,1125,171,0205,2.6,2,1,Preg,,1,30
15EW00087,H9213,,.,1,84,e7,W,63,1125,0,,,,,,,1,30
15EW00088,H9214,,1ST,1,85,e8,W,88,1125,98,0205,2.2,4+,1,Open,,1,30
15EW00089,H9216,,3RD,1,95,e5,W,99,1125,110,0205,2.0,2+,1,Open,,1,30
15EW00090,H9221,,PINKISH,1,91,e6,W,106,1125,124,0205,2.0,2,1,Preg,,1,30
15EW00091,H9225,,.,1,86,e7,W,98,1125,110,0205,,1-,2,Open,,1,30
15EW00092,H9229,,.,1,94,e7,W,116,1125,144,0205,2.0,5+,1,Preg,,1,30
