UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
07WN00001,2007053111,07,H3111,05,2,88,30,09,8,2,2,3.0,3,3,2,88,220,132,7,9.2,57,72,0.476,66,1,1,,,0,M,.,p26,TAIL CHEWED,H1914,05,H1241,05,83,1,,0,5,6,105,1.89,120.8,1,83,0,,,LIFE,sy2,0
07WN00002,2007053110,07,H3110,05,2,88,30,05,8,2,2,2.0,2,2,2,88,220,132,8,7.1,50,66,0.446,61,1,1,,,0,L,.,p36,.,H1852,05,H1696,05,88,1,,0,5,6,99,2.21,116.4,1,79,0,,,LIFE,sy3,0
07WN00003,2007053113,07,H3113,05,2,88,30,03,8,2,2,2.0,2,2,2,88,220,132,11,11.2,59,70,0.445,65,1,3,,,0,M,.,p22,.,H1159,05,H2091,05,88,1,,0,5,5,103,2.04,119.2,1,84,0,,,LIFE,sy2,0
07WN00004,2007053114,07,H3114,05,2,88,30,03,8,2,2,2.0,2,2,2,88,220,132,5,11.5,53,62,0.383,57,1,3,,,0,M,.,p42,.,H1159,05,H2091,05,88,1,,0,5,5,98,2.04,119.2,1,70,0,,,LIFE,sy4,0
07WN00005,2007053115,07,H3115,05,2,88,30,e31,5,1,1,1.0,1,1,2,88,220,132,6,7.7,55,67,0.449,62,1,1,,,7,L,.,p23,.,H2022,05,H2866,05,88,1,,0,1,1,95,1.98,107.8,1,85,0,,,LIFE,sy2,0
07WN00006,2007053116,07,H3116,05,2,88,30,e34,8,2,2,1.0,1,1,2,88,220,132,3,8.8,44,59,0.38,54,1,1,,,7,L,.,p45,.,H1063,05,H2906,05,88,1,,0,5,4,96,2.08,117.8,1,73,0,,,LIFE,sy4,0
07WN00007,2007053112,07,H3112,05,1,88,30,09,8,2,2,3.0,3,3,2,88,220,132,2,11.7,70,88,0.578,81,1,1,,,0,M,.,,.,H1914,05,H1241,05,83,1,,0,5,4,106,1.89,120.8,1,100,0,,,,EXP,0
07WN00008,2007053118,07,H3118,05,2,88,30,03,8,2,2,3.0,3,3,2,88,220,132,5,11.0,60,76,0.492,70,1,1,,,0,M,.,p15,.,H1159,05,H1341,05,83,1,,0,5,5,102,2.17,111.2,1,90,0,,,LIFE,sy1,0
07WN00009,2007053119,07,H3119,05,1,88,30,03,8,2,2,3.0,3,3,2,88,220,132,2,11.0,63,82,0.538,76,1,1,,,0,M,.,,.,H1159,05,H1341,05,83,3,93,250,5,5,99,2.17,111.2,3,91,0,,,,,0
07WN00010,2007053117,07,H3117,05,3,88,30,e34,8,2,2,1.0,1,1,2,88,220,132,1,7.2,47,63,0.423,58,1,1,,,7,L,.,,.,H1063,05,H2906,05,88,V,,0,5,6,96,2.08,117.8,V,78,0,,,VACC,,0
