UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLWT_RATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,NAX,LIM,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
00RA00001, 8036,00,98,1,00,30,L-7,L,2,1,2.5,M,134,95,110,0.864,214,152,71,0.213,3.5,3.5,58,10.4,10.4,0.0486,25.04,4.74,18.9,58,2,,2,2.24,104.5,A3467,04,A3735,04,231,193,0.276,2.0,ABS.BRISKET,3,LIM,86,106,,S4,AAA,93.3,L-6,,,,,,,,,,0,,2,4,1,2000
00RA00002, 8243,00,98,1,00,30,L-8,L,3,2,2.5,M,133,77,111,0.694,200,138,71,0.228,3.8,3.8,60,8.6,8.6,0.043,26.69,4.83,18.1,56,1,,3+,2.41,117.5,A3480,04,A3932,04,230,193,0.292,2.0,,3,LIM,89,97,,S1,A,0.0,,,,,,,,,,,0,,2,5,4,2000
00RA00003, 8319,00,98,1,00,06,L-5,L,1,1,3.0,M,135,103,109,0.945,227,185,71,0.307,3.6,3.6,56,12.0,12.0,0.0,28.8,5.2,18.1,54,1,,3-,1.53,91.2,K8958,63,K9019,63,268,193,0.387,2.0,LBWN:91.2,2,LIM,111,90,-,S3,AA,0.0,127,,,,,,,,,,8,_____,3,4,3,2000
00RA00004, 8451,00,98,1,00,07,L14,L,1,1,6.0,M,138,107,106,1.009,210,160,71,0.199,3.0,3.0,62,15.2,15.2,0.0,23.34,4.14,17.7,62,1,,3-,1.77,92.9,S6772,10,S4111,10,249,193,0.308,2.0,FOLDS &TAG**,3,LIM,87,101,,S3,AA,0.0,,,,,,,,,,,0,,4,10,7,2000
00RA00005, 8523,00,98,1,00,30,L-8,L,3,1,6.0,M,140,92,104,0.885,175,138,71,0.172,3.6,3.6,58,10.4,10.4,0.0594,27.04,6.5,24.0,56,1,,1-,1.83,118.8,A3480,04,L8806,03,204,193,0.229,2.0,,3,LIM,90,105,,S1,A,0.0,,,,,,,,,,,0,,5,11,9,2000
00RA00006, 8538,00,98,1,00,07,L12,L,2,2,6.0,M,141,96,103,0.932,201,149,71,0.199,3.2,3.2,62,8.4,8.4,0.0,24.68,4.85,19.7,60,1,,3+,1.67,109.2,S6748,10,S3837,10,234,193,0.283,2.0,,3,LIM,85,77,,S2,AA,0.0,,,,,,,,,,,0,,6,9,9,2000
00RA00007, 8674,00,98,1,00,30,L-9,L,2,2,3.5,Y,144,84,100,0.84,176,133,71,0.184,3.4,3.4,62,5.8,5.8,0.033,23.42,4.66,19.9,62,2,,1-,2.28,113.1,A3656,04,A2769,04,195,193,0.229,2.0,SICKLY ?,3,LIM,78,82,,S4,AAA,0.0,,,,,,,,,,,0,,3,7,6,2000
00RA00008, 8770,00,98,1,00,06,L-3,L,1,1,5.0,M,147,106,97,1.093,260,174,71,0.255,4.0,4.0,58,16.2,16.2,0.0,26.05,5.51,21.1,58,1,,3,1.33,90.1,K8744,63,K7670,63,298,193,0.308,2.0,,2,LIM,101,110,-,S1,A,0.0,126,,,,,,,,,,8,_____,4,5,5,2000
00RA00009,90088,09,99,1,00,91,L01,L,3,2,5.0,Y,123,80,120,0.586,135,135,69,0.208,0.0,0.0,56,4.4,5.2,0.0,0.0,0.0,0.0,0,,1,,1.99,136.8, 0619,00,K7022,63,157,193,0.244,1.0,WHITE 1/2D,3,LIM,,,,SP,B,0.0,,,,,,,,,,,0,,5,11,10,2000
00RA00010,90138,09,99,1,00,93,L-0,L,1,1,2.0,Y,125,105,118,0.783,150,150,0,0.17,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,,1.6,103.4, 0193,00,K9341,63,184,193,0.251,1.0,"BLK.HEAD,PNEU",3,LIM,,,,,,0.0,,,,,,,,,,,0,,2,2,2,2000
