UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YR
04SH00001,1999090687,09,90687,6.4,58,5,2,2004-03-09,69,EWE BAND1,1,SHORT,30,5.0,165,2004-04-26,2,0,04
04SH00002,2002642616,64,K2616,9.8,58,5,2,2004-03-09,69,EWE BAND1,1,,06,2.0,156,2004-04-22,1,0,04
04SH00003,2002448815,44,T8815,8.4,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,143,2004-04-22,1,0,04
04SH00004,2001642018,64,K2018,10.2,60,4,2,2004-03-09,69,EWE BAND1,1,,06,3.0,227,2004-05-03,1,0,04
04SH00005,1999046588,04,A6588,5.4,60,4,2,2004-03-09,69,EWE BAND1,1,SHORT,30,5.0,156,2004-05-03,1,0,04
04SH00006,1997639561,63,K9561,10.6,60,4,2,2004-03-09,69,EWE BAND1,1,,06,7.0,204,2004-05-03,1,0,04
04SH00007,2001048225,04,A8225,6.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,3.0,154,2004-04-22,1,0,04
04SH00008,2002448887,44,T8887,9.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,176,2004-04-26,2,0,04
04SH00009,2001048597,04,A8597,5.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,3.0,146,2004-04-26,2,0,04
04SH00010,2000447760,44,T7760,11.0,58,5,2,2004-03-09,69,EWE BAND1,1,,02,4.0,188,2004-04-26,2,0,04
04SH00011,2000047755,04,A7755,4.2,60,4,2,2004-03-09,69,EWE BAND1,1,SHORT,30,4.0,117,2004-04-22,1,0,04
04SH00012,1999447095,44,T7095,9.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,5.0,147,2004-04-26,2,0,04
04SH00013,2000001328,00,01328,5.6,58,5,2,2004-03-09,69,EWE BAND1,1,,30,4.0,151,2004-04-22,1,0,04
04SH00014,2002113352,11,R3352,10.0,62,3,2,2004-03-09,69,EWE BAND1,1,,07,2.0,134,2004-04-26,2,0,04
04SH00015,1999447323,44,T7323,10.8,62,3,2,2004-03-09,69,EWE BAND1,1,,02,5.0,158,2004-04-22,1,0,04
04SH00016,1999110037,11,R0037,8.8,62,3,2,2004-03-09,69,EWE BAND1,1,SHORT,07,5.0,158,2004-05-20,1,0,04
04SH00017,2001048399,04,A8399,6.2,60,4,2,2004-03-09,69,EWE BAND1,1,,30,3.0,137,2004-04-26,2,0,04
04SH00018,2002449267,44,T9267,8.0,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,131,2004-06-08,S,0,04
04SH00019,2002448967,44,T8967,7.8,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,136,2004-05-03,1,0,04
04SH00020,2002449000,44,T9000,10.6,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,168,2004-06-08,S,0,04
04SH00021,1999447025,44,T7025,10.0,62,3,2,2004-03-09,69,EWE BAND1,1,,02,5.0,167,2004-04-22,1,0,04
04SH00022,1999447102,44,T7102,8.6,62,3,2,2004-03-09,69,EWE BAND1,1,,02,5.0,194,2004-05-03,1,0,04
04SH00023,1999110141,11,R0141,9.4,62,3,2,2004-03-09,69,EWE BAND1,1,,07,5.0,168,2004-05-24,5,0,04
04SH00024,2002642230,64,K2230,10.0,56,6,2,2004-03-09,69,EWE BAND1,1,,06,2.0,123,2004-05-03,1,0,04
04SH00025,2001048673,04,A8673,5.4,60,4,2,2004-03-09,69,EWE BAND1,1,,30,3.0,140,2004-04-22,1,0,04
04SH00026,1999447142,44,T7142,8.6,62,3,2,2004-03-09,69,EWE BAND1,1,,02,5.0,177,2004-05-24,5,0,04
04SH00027,2002448814,44,T8814,8.6,64,2,2,2004-03-09,69,EWE BAND1,1,,02,2.0,143,2004-04-22,1,0,04
04SH00028,2000111439,11,R1439,9.4,62,3,2,2004-03-09,69,EWE BAND1,1,,07,4.0,159,2004-04-26,2,0,04
04SH00029,2001048505,04,A8505,5.6,60,4,2,2004-03-09,69,EWE BAND1,1,,30,3.0,152,2004-04-26,2,0,04
04SH00030,1999090102,09,90102,6.2,58,5,2,2004-03-09,69,EWE BAND1,1,,30,5.0,167,2004-04-26,2,0,04
04SH00031,1997108056,10,S8056,10.6,62,3,2,2004-03-09,69,EWE BAND1,1,,42,7.0,127,2004-05-13,2,0,04
04SH00032,1998008210,00, 8210,9.8,58,5,2,2004-03-09,69,EWE BAND1,1,,06,6.0,185,2004-04-22,1,0,04
04SH00033,1997108435,10,S8435,5.8,62,3,2,2004-03-09,69,EWE BAND1,1,,07,7.0,158,2004-04-26,2,0,04
04SH00034,2002449126,44,T9126,9.0,60,4,2,2004-03-09,69,EWE BAND1,1,,02,2.0,164,2004-06-08,S,0,04
04SH00035,2002448928,44,T8928,8.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,151,2004-05-03,1,0,04
04SH00036,1997044762,04,A4762,6.8,58,5,2,2004-03-09,69,EWE BAND1,1,,30,6.5,177,2004-04-22,1,0,04
04SH00037,1999090830,09,90830,6.8,58,5,2,2004-03-09,69,EWE BAND1,1,,30,5.0,178,2004-05-03,1,0,04
04SH00038,2002642480,64,K2480,11.4,58,5,2,2004-03-09,69,EWE BAND1,1,,06,2.0,153,2004-04-26,2,0,04
04SH00039,2001641627,64,K1627,11.0,60,4,2,2004-03-09,69,EWE BAND1,1,,06,3.0,190,2004-05-24,5,0,04
04SH00040,1999090748,09,90748,6.0,58,5,2,2004-03-09,69,EWE BAND1,1,,30,5.0,160,2004-04-22,1,0,04
04SH00041,2002050006,05,P0006,6.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,2.0,124,2004-05-03,1,0,04
04SH00042,2000047526,04,A7526,8.4,62,3,2,2004-03-09,69,EWE BAND1,1,,30,4.0,181,2004-05-27,2,0,04
04SH00043,2001112507,11,R2507,10.2,62,3,2,2004-03-09,69,EWE BAND1,1,,43,3.0,136,2004-04-26,2,0,04
04SH00044,2001448314,44,T8314,9.4,62,3,2,2004-03-09,69,EWE BAND1,1,,02,3.0,201,2004-05-03,1,0,04
04SH00045,1999447321,44,T7321,9.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,5.0,163,2004-04-22,1,0,04
04SH00046,2001048499,04,A8499,7.2,58,5,2,2004-03-09,69,EWE BAND1,1,,30,3.0,124,2004-04-26,2,0,04
04SH00047,2002113811,11,R3811,9.6,62,3,2,2004-03-09,69,EWE BAND1,1,,07,2.0,134,2004-04-22,1,0,04
04SH00048,2000048074,04,A8074,7.2,58,5,2,2004-03-09,69,EWE BAND1,1,SHORT,30,4.0,147,2004-04-26,2,0,04
04SH00049,2001048443,04,A8443,7.8,58,5,2,2004-03-09,69,EWE BAND1,1,,30,3.0,201,2004-05-27,2,0,04
04SH00050,2002050228,05,P0228,5.8,60,4,2,2004-03-09,69,EWE BAND1,1,TENDER,30,2.0,144,2004-04-22,1,0,04
04SH00051,1999110614,11,R0614,10.6,60,4,2,2004-03-09,69,EWE BAND1,1,,43,5.0,177,2004-04-26,2,0,04
04SH00052,1997446287,44,T6287,7.8,62,3,2,2004-03-09,69,EWE BAND1,1,,02,7.0,0,,*,0,04
04SH00053,2001448420,44,T8420,10.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,3.0,151,2004-04-26,2,0,04
04SH00054,2000448026,44,T8026,8.6,62,3,2,2004-03-09,69,EWE BAND1,1,,02,4.0,141,2004-05-03,1,0,04
04SH00055,1997044918,04,A4918,5.6,58,5,2,2004-03-09,69,EWE BAND1,1,,30,6.5,173,2004-05-24,5,0,04
04SH00056,2001641783,64,K1783,12.8,58,5,2,2004-03-09,69,EWE BAND1,1,,06,3.0,203,2004-05-03,1,0,04
04SH00057,2002449314,44,T9314,8.6,60,4,2,2004-03-09,69,EWE BAND1,1,SHORT,02,2.0,171,2004-06-08,S,0,04
04SH00058,2001448324,44,T8324,10.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,3.0,160,2004-05-03,1,0,04
04SH00059,2001048339,04,A8339,7.0,60,4,2,2004-03-09,69,EWE BAND1,1,,30,3.0,126,2004-04-22,1,0,04
04SH00060,2002049458,04,A9458,9.0,60,4,2,2004-03-09,69,EWE BAND1,1,,30,2.0,127,2004-04-22,1,0,04
04SH00061,2001048456,04,A8456,6.2,60,4,2,2004-03-09,69,EWE BAND1,1,,30,3.0,131,2004-04-22,1,0,04
04SH00062,1997107950,10,S7950,7.2,62,3,2,2004-03-09,69,EWE BAND1,1,,07,7.0,179,2004-05-03,1,0,04
04SH00063,2002049667,04,A9667,5.8,60,4,2,2004-03-09,69,EWE BAND1,1,,30,2.0,140,2004-04-22,1,0,04
04SH00064,2000447823,44,T7823,11.0,60,4,2,2004-03-09,69,EWE BAND1,1,,02,4.0,168,2004-05-03,1,0,04
04SH00065,1999640985,64,K0985,10.8,58,5,2,2004-03-09,69,EWE BAND1,1,,06,5.0,202,2004-05-03,1,0,04
04SH00066,1998640451,64,K0451,9.8,58,5,2,2004-03-09,69,EWE BAND1,1,,06,6.0,206,2004-04-26,2,0,04
04SH00067,2001448297,44,T8297,6.0,62,3,2,2004-03-09,69,EWE BAND1,1,,02,3.0,157,2004-05-03,1,0,04
04SH00068,1998640180,64,K0180,9.8,60,4,2,2004-03-09,69,EWE BAND1,1,,06,6.0,155,2004-04-22,1,0,04
04SH00069,2002049885,04,A9885,6.4,60,4,2,2004-03-09,69,EWE BAND1,1,,30,2.0,167,2004-05-24,5,0,04
04SH00070,1999447130,44,T7130,9.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,5.0,174,2004-05-13,2,0,04
04SH00071,2002449362,44,T9362,7.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,149,2004-06-08,S,0,04
04SH00072,1997108443,10,S8443,7.8,62,3,2,2004-03-09,69,EWE BAND1,1,SHORT,07,7.0,160,2004-04-26,2,0,04
04SH00073,1998446702,44,T6702,10.4,58,5,2,2004-03-09,69,EWE BAND1,1,,02,6.0,137,2004-05-13,2,0,04
04SH00074,2002448997,44,T8997,7.8,60,4,2,2004-03-09,69,EWE BAND1,1,,02,2.0,141,2004-06-08,S,0,04
04SH00075,2002050289,05,P0289,4.8,58,5,2,2004-03-09,69,EWE BAND1,1,SHORT,30,2.0,123,2004-05-24,5,0,04
04SH00076,2002449156,44,T9156,9.6,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,142,2004-06-08,S,0,04
04SH00077,1999090741,09,90741,10.6,60,4,2,2004-03-09,69,EWE BAND1,1,,06,5.0,166,2004-05-13,2,0,04
04SH00078,2000448087,44,T8087,9.6,60,4,2,2004-03-09,69,EWE BAND1,1,,02,4.0,132,2004-05-03,1,0,04
04SH00079,1998109412,10,S9412,6.8,60,4,2,2004-03-09,69,EWE BAND1,1,,43,6.0,122,2004-05-03,1,0,04
04SH00080,2002050050,05,P0050,5.0,58,5,2,2004-03-09,69,EWE BAND1,1,SHORT,30,2.0,138,2004-04-22,1,0,04
04SH00081,1998008668,00, 8668,6.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,6.0,142,2004-04-26,2,0,04
04SH00082,1998446474,44,T6474,9.2,64,2,2,2004-03-09,69,EWE BAND1,1,,02,6.0,153,2004-05-20,1,0,04
04SH00083,2000447761,44,T7761,9.8,60,4,2,2004-03-09,69,EWE BAND1,1,,02,4.0,149,2004-04-22,1,0,04
04SH00084,2000641156,64,K1156,11.8,58,5,2,2004-03-09,69,EWE BAND1,1,,06,4.0,198,2004-04-26,2,0,04
04SH00085,2002049545,04,A9545,6.0,58,5,2,2004-03-09,69,EWE BAND1,1,TENDER,30,2.0,131,2004-04-22,1,0,04
04SH00086,1998640440,64,K0440,10.8,62,3,2,2004-03-09,69,EWE BAND1,1,,06,6.0,193,2004-05-03,1,0,04
04SH00087,2001048473,04,A8473,6.6,60,4,2,2004-03-09,69,EWE BAND1,1,,30,3.0,122,2004-05-13,2,0,04
04SH00088,1997108148,10,S8148,8.6,62,3,2,2004-03-09,69,EWE BAND1,1,,07,7.0,155,2004-04-26,2,0,04
04SH00089,2000641260,64,K1260,9.2,60,4,2,2004-03-09,69,EWE BAND1,1,,06,4.0,188,2004-04-26,2,0,04
04SH00090,2002049133,04,A9133,7.2,60,4,2,2004-03-09,69,EWE BAND1,1,,30,2.0,119,2004-04-26,2,0,04
04SH00091,1998008636,00, 8636,9.0,60,4,2,2004-03-09,69,EWE BAND1,1,,07,6.0,144,2004-04-26,2,0,04
04SH00092,1999640930,64,K0930,9.2,60,4,2,2004-03-09,69,EWE BAND1,1,,06,5.0,157,2004-04-26,2,0,04
04SH00093,2000448224,44,T8224,12.6,60,4,2,2004-03-09,69,EWE BAND1,1,,02,4.0,161,2004-04-22,1,0,04
04SH00094,1998446640,44,T6640,9.4,62,3,2,2004-03-09,69,EWE BAND1,1,,02,6.0,169,2004-04-22,1,0,04
04SH00095,1999046338,04,A6338,5.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,5.0,171,2004-05-03,1,0,04
04SH00096,1997044872,04,A4872,5.6,58,5,2,2004-03-09,69,EWE BAND1,1,,30,6.5,190,2004-05-24,5,0,04
04SH00097,1999640655,64,K0655,10.0,62,3,2,2004-03-09,69,EWE BAND1,1,,06,5.0,188,2004-05-13,2,0,04
04SH00098,1997446188,44,T6188,11.0,62,3,2,2004-03-09,69,EWE BAND1,1,,02,7.0,178,2004-06-01,H,0,04
04SH00099,1998640055,64,K0055,10.0,56,6,2,2004-03-09,69,EWE BAND1,1,,06,6.0,178,2004-04-22,1,0,04
04SH00100,1998446936,44,T6936,8.0,62,3,2,2004-03-09,69,EWE BAND1,1,,02,6.0,149,2004-05-24,5,0,04
04SH00101,2002449224,44,T9224,10.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,147,2004-06-08,S,0,04
04SH00102,2002050363,05,P0363,5.6,58,5,2,2004-03-09,69,EWE BAND1,1,,30,2.0,140,2004-05-20,1,0,04
04SH00103,1998446439,44,T6439,7.8,60,4,2,2004-03-09,69,EWE BAND1,1,,02,6.0,162,2004-05-27,2,0,04
04SH00104,2001641704,64,K1704,10.2,60,4,2,2004-03-09,69,EWE BAND1,1,,06,3.0,155,2004-04-26,2,0,04
04SH00105,1999046697,04,A6697,6.4,62,3,2,2004-03-09,69,EWE BAND1,1,,30,5.0,170,2004-05-27,2,0,04
04SH00106,1999090956,09,90956,10.0,58,5,2,2004-03-09,69,EWE BAND1,1,,06,5.0,186,2004-04-22,1,0,04
04SH00107,2002050260,05,P0260,5.6,62,3,2,2004-03-09,69,EWE BAND1,1,,30,2.0,165,2004-05-13,2,0,04
04SH00108,2001048530,04,A8530,6.6,60,4,2,2004-03-09,69,EWE BAND1,1,,30,3.0,137,2004-04-26,2,0,04
04SH00109,1999091251,09,91251,12.0,60,4,2,2004-03-09,69,EWE BAND1,1,,06,5.0,223,2004-04-26,2,0,04
04SH00110,2000641305,64,K1305,10.8,62,3,2,2004-03-09,69,EWE BAND1,1,,06,4.0,214,2004-04-22,1,0,04
04SH00111,1997446022,44,T6022,10.4,62,3,2,2004-03-09,69,EWE BAND1,1,,02,7.0,153,2004-06-01,H,0,04
04SH00112,2002113006,11,R3006,8.4,62,3,2,2004-03-09,69,EWE BAND1,1,,07,2.0,140,2004-04-22,1,0,04
04SH00113,1998640213,64,K0213,9.6,58,5,2,2004-03-09,69,EWE BAND1,1,,06,6.0,168,2004-04-26,2,0,04
04SH00114,1999447106,44,T7106,10.6,62,3,2,2004-03-09,69,EWE BAND1,1,,02,5.0,151,2004-04-26,2,0,04
04SH00115,1999090800,09,90800,5.8,58,5,2,2004-03-09,69,EWE BAND1,1,,30,5.0,191,2004-05-27,2,0,04
04SH00116,2002049641,04,A9641,8.4,62,3,2,2004-03-09,69,EWE BAND1,1,,30,2.0,154,2004-04-22,1,0,04
04SH00117,2002050267,05,P0267,5.4,60,4,2,2004-03-09,69,EWE BAND1,1,,30,2.0,137,2004-04-22,1,0,04
04SH00118,1997044895,04,A4895,4.6,62,3,2,2004-03-09,69,EWE BAND1,1,,30,6.5,174,2004-05-03,1,0,04
04SH00119,1999447165,44,T7165,7.2,58,5,2,2004-03-09,69,EWE BAND1,1,,02,5.0,154,2004-04-26,2,0,04
04SH00120,2000047675,04,A7675,6.8,60,4,2,2004-03-09,69,EWE BAND1,1,,30,4.0,190,2004-05-20,1,0,04
04SH00121,2000047268,04,A7268,6.4,60,4,2,2004-03-09,69,EWE BAND1,1,,30,4.0,165,2004-05-03,1,0,04
04SH00122,2000047259,04,A7259,6.0,58,5,2,2004-03-09,69,EWE BAND1,1,,30,4.0,204,2004-04-26,2,0,04
04SH00123,2001641722,64,K1722,13.4,60,4,2,2004-03-09,69,EWE BAND1,1,,06,3.0,192,2004-04-22,1,0,04
04SH00124,1999090710,09,90710,8.4,62,3,2,2004-03-09,69,BAND 2 THIN,3,,07,5.0,166,2004-05-03,1,0,04
04SH00125,1999110417,11,R0417,8.4,60,4,2,2004-03-09,69,EWE BAND1,1,,07,5.0,172,2004-04-22,1,0,04
04SH00126,2002050247,05,P0247,4.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,2.0,135,2004-04-22,1,0,04
04SH00127,1997446249,44,T6249,9.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,7.0,181,2004-05-24,5,0,04
04SH00128,2002448799,44,T8799,12.0,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,200,2004-04-26,2,0,04
04SH00129,2001641595,64,K1595,10.8,62,3,2,2004-03-09,69,EWE BAND1,1,,06,3.0,166,2004-04-22,1,0,04
04SH00130,2001112839,11,R2839,10.0,62,3,2,2004-03-09,69,EWE BAND1,1,,07,3.0,151,2004-04-22,1,0,04
04SH00131,2000447737,44,T7737,10.8,64,2,2,2004-03-09,69,EWE BAND1,1,,02,4.0,185,2004-04-26,2,0,04
04SH00132,2001448421,44,T8421,9.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,3.0,166,2004-05-20,1,0,04
04SH00133,1998045770,04,A5770,7.0,60,4,2,2004-03-09,69,EWE BAND1,1,,30,5.5,191,2004-04-22,1,0,04
04SH00134,2002049891,04,A9891,6.0,60,4,2,2004-03-09,69,EWE BAND1,1,,30,2.0,151,2004-05-03,1,0,04
04SH00135,1997044897,04,A4897,7.4,60,4,2,2004-03-09,69,BAND 2 THIN,2,,30,6.5,165,2004-05-20,1,0,04
04SH00136,1999046175,04,A6175,7.6,60,4,2,2004-03-09,69,BAND 2 THIN,3,,30,5.0,146,2004-05-03,1,0,04
04SH00137,1999046907,04,A6907,9.6,56,6,2,2004-03-09,69,BAND 2 THIN,3,,30,5.0,179,2004-05-20,1,0,04
04SH00138,2002049293,04,A9293,7.4,62,3,2,2004-03-09,69,EWE BAND1,1,,30,2.0,146,2004-04-22,1,0,04
04SH00139,1997044263,04,A4263,6.2,58,5,2,2004-03-09,69,EWE BAND1,1,,30,7.0,154,2004-04-22,1,0,04
04SH00140,1997108017,10,S8017,8.8,64,2,2,2004-03-09,69,BAND 2 THIN,3,,07,7.0,144,2004-05-13,2,0,04
04SH00141,2002448985,44,T8985,6.8,64,2,2,2004-03-09,69,EWE BAND1,1,SHORT,02,2.0,137,2004-06-08,S,0,04
04SH00142,2001048359,04,A8359,6.4,58,5,2,2004-03-09,69,EWE BAND1,1,,30,3.0,153,2004-05-20,1,0,04
04SH00143,1999047008,04,A7008,5.2,60,4,2,2004-03-09,69,BAND 2 THIN,3,,30,5.0,177,2004-05-03,1,0,04
04SH00144,2001048319,04,A8319,11.2,58,5,2,2004-03-09,69,EWE BAND1,1,,30,3.0,176,2004-05-13,2,0,04
04SH00145,2002050204,05,P0204,5.2,62,3,2,2004-03-09,69,EWE BAND1,1,SHORT,30,2.0,113,2004-04-22,1,0,04
04SH00146,2002049683,04,A9683,9.4,62,3,2,2004-03-09,69,EWE BAND1,1,,30,2.0,135,2004-04-26,2,0,04
04SH00147,1997639575,63,K9575,8.6,60,4,2,2004-03-09,69,BAND 2 THIN,2,,06,7.0,201,2004-05-27,2,0,04
04SH00148,2000112103,11,R2103,11.2,64,2,2,2004-03-09,69,BAND 2 THIN,2,,07,4.0,158,2004-05-13,2,0,04
04SH00149,1998446510,44,T6510,9.8,62,3,2,2004-03-09,69,EWE BAND1,1,,02,6.0,187,2004-06-01,H,0,04
04SH00150,2000111421,11,R1421,10.6,62,3,2,2004-03-09,69,EWE BAND1,1,,43,4.0,125,2004-04-22,1,0,04
04SH00151,1999110130,11,R0130,9.6,62,3,2,2004-03-09,69,BAND 2 THIN,2,,07,5.0,161,2004-05-13,2,0,04
04SH00152,2000047134,04,A7134,6.8,62,3,2,2004-03-09,69,EWE BAND1,1,,30,4.0,0,,*,0,04
04SH00153,1997044851,04,A4851,9.6,60,4,2,2004-03-09,69,BAND 2 THIN,2,,30,6.5,153,2004-05-20,1,0,04
04SH00154,1997044520,04,A4520,7.0,60,4,2,2004-03-09,69,EWE BAND1,1,,30,7.0,0,,*,0,04
04SH00155,1999046726,04,A6726,8.8,58,5,2,2004-03-09,69,BAND 2 THIN,3,,30,5.0,213,2004-05-03,1,0,04
04SH00156,2001048197,04,A8197,9.4,62,3,2,2004-03-09,69,BAND 2 THIN,2,TENDER,30,3.0,166,2004-05-27,2,0,04
04SH00157,1999447511,44,T7511,7.8,62,3,2,2004-03-09,69,BAND 2 THIN,2,,02,5.0,185,2004-05-24,5,0,04
04SH00158,1997639285,63,K9285,10.2,58,5,2,2004-03-09,69,EWE BAND1,1,,06,7.0,226,2004-05-24,5,0,04
04SH00159,1997044133,04,A4133,6.8,60,4,2,2004-03-09,69,BAND 2 THIN,3,,30,7.0,0,,*,0,04
04SH00160,2000047731,04,A7731,8.2,62,3,2,2004-03-09,69,BAND 2 THIN,3,,30,4.0,162,2004-05-03,1,0,04
04SH00161,1998045370,04,A5370,8.0,62,3,2,2004-03-09,69,BAND 2 THIN,2,SHORT,30,6.0,171,2004-05-27,2,0,04
04SH00162,1997108388,10,S8388,8.6,60,4,2,2004-03-09,69,BAND 2 THIN,2,,43,7.0,217,2004-05-27,2,0,04
04SH00163,2000047393,04,A7393,5.0,60,4,2,2004-03-09,69,BAND 2 THIN,2,,30,4.0,114,2004-05-20,1,0,04
04SH00164,1998045764,04,A5764,7.4,56,6,2,2004-03-09,69,BAND 2 THIN,3,,30,5.5,152,2004-05-20,1,0,04
04SH00165,1997044524,04,A4524,9.0,62,3,2,2004-03-09,69,BAND 2 THIN,3,,30,7.0,208,2004-04-26,2,0,04
04SH00166,2000047863,04,A7863,6.6,60,4,2,2004-03-09,69,EWE BAND1,1,,30,4.0,126,2004-04-26,2,0,04
04SH00167,2001048333,04,A8333,9.8,62,3,2,2004-03-09,69,EWE BAND1,1,,30,3.0,170,2004-04-22,1,0,04
04SH00168,2001048413,04,A8413,8.4,60,4,2,2004-03-09,69,BAND 2 THIN,3,,30,3.0,177,2004-04-26,2,0,04
04SH00169,2002049927,04,A9927,7.4,60,4,2,2004-03-09,69,BAND 2 THIN,2,,30,2.0,176,2004-05-27,2,0,04
04SH00170,1998045600,04,A5600,7.8,62,3,2,2004-03-09,69,EWE BAND1,1,,30,6.0,175,2004-04-26,2,0,04
04SH00171,2001048226,04,A8226,8.4,62,3,2,2004-03-09,69,BAND 2 THIN,2,,30,3.0,133,2004-05-27,2,0,04
04SH00172,1997446325,44,T6325,7.4,60,4,2,2004-03-09,69,BAND 2 THIN,3,,02,7.0,171,2004-05-03,1,0,04
04SH00173,1997044624,04,A4624,8.0,60,4,2,2004-03-09,69,EWE BAND1,1,,30,7.0,191,2004-05-27,2,0,04
04SH00174,1999046732,04,A6732,7.6,60,4,2,2004-03-09,69,BAND 2 THIN,3,,30,5.0,152,2004-05-03,1,0,04
04SH00175,1999046656,04,A6656,6.0,58,5,2,2004-03-09,69,BAND 2 THIN,2,,30,5.0,182,2004-05-24,5,0,04
04SH00176,1998109256,10,S9256,12.2,62,3,2,2004-03-09,69,BAND 2 THIN,2,,07,6.0,156,2004-05-20,1,0,04
04SH00177,1998446708,44,T6708,11.2,62,3,2,2004-03-09,69,EWE BAND1,1,,02,6.0,207,2004-04-26,2,0,04
04SH00178,1997445910,44,T5910,11.8,62,3,2,2004-03-09,69,BAND 2 THIN,3,,02,7.0,164,2004-05-24,5,0,04
04SH00179,1998045776,04,A5776,8.4,58,5,2,2004-03-09,69,BAND 2 THIN,3,,30,5.5,174,2004-04-26,2,0,04
04SH00180,1998045248,04,A5248,9.4,62,3,2,2004-03-09,69,BAND 2 THIN,2,TENDER,30,6.0,146,2004-05-20,1,0,04
04SH00181,1998008724,00, 8724,6.0,60,4,2,2004-03-09,69,BAND 2 THIN,3,,30,6.0,141,2004-06-01,H,0,04
04SH00182,2002448817,44,T8817,10.6,62,3,2,2004-03-09,69,EWE BAND1,1,,02,2.0,181,2004-04-22,1,0,04
04SH00183,2000047265,04,A7265,6.8,58,5,2,2004-03-09,69,BAND 2 THIN,2,,30,4.0,140,2004-05-13,2,0,04
04SH00184,1999110275,11,R0275,10.4,62,3,2,2004-03-09,69,BAND 2 THIN,3,,43,5.0,208,2004-05-27,2,0,04
04SH00185,1998109020,10,S9020,10.8,62,3,2,2004-03-09,69,BAND 2 THIN,3,,07,6.0,139,2004-05-24,5,0,04
04SH00186,1999110519,11,R0519,8.4,58,5,2,2004-03-09,69,BAND 2 THIN,2,SOPHIA,43,5.0,179,2004-05-27,2,0,04
04SH00187,2001048874,04,A8874,8.2,56,6,2,2004-03-09,69,EWE BAND1,1,,30,3.0,158,2004-04-26,2,0,04
04SH00188,2002049841,04,A9841,7.8,60,4,2,2004-03-09,69,EWE BAND1,1,,30,2.0,155,2004-05-13,2,0,04
04SH00189,2002113076,11,R3076,13.4,62,3,2,2004-03-09,69,BAND 2 THIN,3,,43,2.0,143,2004-05-20,1,0,04
04SH00190,2001112204,11,R2204,14.0,62,3,2,2004-03-09,69,BAND 2 THIN,2,,07,3.0,142,2004-05-03,1,0,04
04SH00191,2002049091,04,A9091,9.2,60,4,2,2004-03-09,69,EWE BAND1,1,,30,2.0,152,2004-04-22,1,0,04
04SH00192,2000047591,04,A7591,6.8,60,4,2,2004-03-09,69,BAND 2 THIN,3,,30,4.0,134,2004-05-20,1,0,04
04SH00193,1999046589,04,A6589,6.0,60,4,2,2004-03-09,69,EWE BAND1,1,DEAD (50),30,5.0,0,,*,0,04
04SH00194,2001112173,11,R2173,12.8,62,3,2,2004-03-09,69,BAND 2 THIN,2,,07,3.0,156,2004-05-13,2,0,04
04SH00195,2000111453,11,R1453,12.2,60,4,2,2004-03-09,69,BAND 2 THIN,3,,07,4.0,144,2004-05-03,1,0,04
04SH00196,1998045589,04,A5589,6.4,60,4,2,2004-03-09,69,EWE BAND1,1,,30,6.0,150,2004-04-22,1,0,04
04SH00197,2001448310,44,T8310,12.8,62,3,2,2004-03-09,69,EWE BAND1,1,,02,3.0,170,2004-05-24,5,0,04
04SH00198,2000111224,11,R1224,11.2,62,3,2,2004-03-09,69,BAND 2 THIN,2,,43,4.0,172,2004-05-27,2,0,04
04SH00199,2000047582,04,A7582,10.2,56,6,2,2004-03-09,69,BAND 2 THIN,3,,30,4.0,210,2004-04-26,2,0,04
04SH00200,2001048371,04,A8371,6.2,62,3,2,2004-03-09,69,BAND 2 THIN,2,,30,3.0,153,2004-05-27,2,0,04
04SH00201,1998109236,10,S9236,11.6,60,4,2,2004-03-09,69,BAND 2 THIN,2,,43,6.0,170,2004-05-27,2,0,04
04SH00202,2001048294,04,A8294,5.6,62,3,2,2004-03-09,69,EWE BAND1,1,,30,3.0,133,2004-04-22,1,0,04
