UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,VACC,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL,NOBN
04LA00001,04,Z8303,81,00,O,00000,00,2.0,2,00,00,O,2,y,X,011504,15,8,2,3,12.2,1,1,X0862,82,00,00,,0,,,,,?SIRE,1,1,..,OVX,J,1,none,3,1,1,2,1,1,1.0,82,,0.0,0,1,2004-01-15,0.0,2
04LA00002,04,Z8303,81,00,O,00000,00,2.0,2,00,00,O,2,y,X,011504,15,8,2,3,9.4,1,1,X0863,82,00,00,6,17,23,,,,?SIRE,1,1,..,OVX,J,2,none,3,0,0,0,1,0,,,,0.0,0,1,2004-01-15,0.0,2
04LA00003,04,R2689,11,10,O,00000,00,3.0,3,43,00,O,2,y,X,022404,55,5,2,2,11.5,1,1,X0864,82,00,00,,0,,,,,?SIRE,1,1,..,OVX,J,1,none,3,1,1,1,1,1,1.0,86,,0.0,0,1,2004-02-24,0.0,1
04LA00004,04,K0431,64,60,52K,K2665,64,6.0,6,06,06,1,0,n,G,032504,85,0,1,,0.0,,,,,68,06,0,85,27,,,"RP,DRY,NECROTIC",,7,3,..,.,J,1,none,,1,1,1,0,0,,,,0.0,0,5,2004-03-25,0.033,1
04LA00005,04,Z9626,81,00,e.6,K2546,64,1.0,1,80,06,4,7,y,N,031904,79,5,3,3,5.8,1,1,X0865,82,00,86,6,83,14,,,,WEAK,1,1,..,TAY,J,1,none,,1,1,1,1,0,,,,0.0,0,5,2004-03-19,0.0,1
04LA00006,04,A4801,04,73,11P,A9750,04,6.5,6,30,30,1,0,n,C,032304,83,3,2,2,6.0,1,1,H0745,05,82,30,,0,,,,2 HEADS FIRST,,6,4,..,.,J,1,none,,1,1,4,1,1,1.0,84,,0.0,0,1,2004-03-23,0.035,4
04LA00007,04,A4801,04,73,11P,A9750,04,6.5,6,30,30,1,0,n,C,032304,83,3,2,1,6.5,1,1,,,82,30,0,83,27,,,,,6,4,..,.,J,2,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-23,0.035,4
04LA00008,04,A4801,04,73,11P,A9750,04,6.5,6,30,30,1,0,n,C,032304,83,3,2,1,5.5,1,1,,,82,30,0,83,27,,,,,6,4,..,.,J,3,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-23,0.035,4
04LA00009,04,A4801,04,73,11P,A9750,04,6.5,6,30,30,1,0,n,C,032304,83,3,2,1,5.5,1,1,,,82,30,0,83,27,,,,,6,4,..,.,J,4,none,,0,0,0,0,0,,,,0.0,0,1,2004-03-23,0.035,4
04LA00010,04,T6746,44,41,45T,T8907,44,6.0,6,02,02,1,0,n,M,032704,87,2,0,1,0.0,.,.,,,48,02,0,87,27,,,"THIN,CLA,PNEU",,1,1,..,.,J,1,none,,1,1,2,0,0,,,,0.0,0,*,2004-03-27,0.046,2
