UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
91IN00001,         0,00001,,88,1,,1,02,,6565JP,5051JP,,,1,,,, 0,  0,1,,M,240,262,00,,,,,,,,,,,30,REG#47521,1991
91IN00002,1986030001,L0001,03,86,2,72,2,30,724,765602,337502,6,,1,,,, 0,  0,1,,5,177,0,00,,,,93,1209,,FL,,,F,45,JOINT ILL,1991
91IN00003,1988440004,T0004,44,88,2,40,1,02,401,780343,499443,,,,,,, 1, 91,1,,1,153,170,02,,+,,,,,T-4,,,2,30,,1991
91IN00004,1989100005,S0005,10,89,2,18,1,07,141,800619,821719,,,,,,, 2,  0,1,,5,126,155,01,,,,,,,R-5,,,1,20,ABORT.3/6/91,1991
91IN00005,1986030007,L0007,03,86,2,83,2,30,733,761202,675501,,,1,,,, 3,111,3,,2,147,173,11,,,,93,0930,,,,,,45,MASTITIS,1991
91IN00006,1989100008,S0008,10,89,1,11,1,07,111,891619,560419,2,,,,,, 0,  0,4,,*,0,0,00,,,L,,,,,,,,20,,1991
91IN00007,1986030009,L0009,03,86,2,72,2,30,724,765602,606302,6,,1,,,, 2, 73,6,,*,0,0,00,,,,19,0507,,,,,,45,,1991
91IN00008,1989100009,S0009,10,89,1,11,1,07,111,891619,560419,2,,,,,, 0,  0,1,,*,0,0,00,,,L,50,0724,,,,,,20,,1991
91IN00009,1988440011,T0011,44,88,2,42,1,02,902,829843,826243,2,,,,,, 0,  0,3,L42,*,0,0,00,,,X,95,0226,,,,,,30,L.SPOILED,1991
91IN00010,1989100011,S0011,10,89,2,11,1,07,114,881719,788819,,,,,,, 2,148,1,,1,99,133,02,,,,,,,R-6,,,1,20,,1991
91IN05896,1986029984,Y9984,02,86,2,81,2,30,735,771002,364102,,,0,,,, 3, 74,1,,1,161,172,03,,,,,,,P13,,,2,45,FIBERBAG,1991
91IN05897,1989199987,S9987,19,89,2,18,1,07,143,816219,408419,,,,,,, 2,135,1,35A,3,126,151,02,,,,,,,R-7,,,1,20,,1991
91IN05898,1988439988,T9988,43,88,2,41,1,02,411,866643,439343,2,,,,,, 2,  0,3,PVC,1,123,180,11,,,X,93,1231,2,,,,X,30,"SWBG,MASTITIS",1991
91IN05899,1988439990,T9990,43,88,2,49,1,02,402,850243,646643,6,,,,,, 1,  0,1,,5,162,191,01,,,,,,,T-8,,,2,30,WILDEWE,1991
91IN05900,1989199991,S9991,19,89,2,11,1,07,112,888419,707019,,,,,,, 2,145,1,,2,147,161,02,,,,,,,R-9,,,1,20,,1991
91IN05901,1988439991,T9991,43,88,2,49,1,02,402,850243,646643,6,,,,,, 0,  0,1,,5,169,187,01,,,,,,,T-9,,,2,30,,1991
91IN05902,1989199995,S9995,19,89,2,18,1,07,142,802819,784919,,,,,,, 1,  0,1,34D,3,137,168,02,,,,,,,R12,,,1,20,,1991
91IN05903,1988439996,T9996,43,88,2,48,1,02,  4,793143,936543,,,,,,, 2,155,1,,2,130,160,02,,,,,,,T-8,,,2,30,,1991
91IN05904,1989199997,S9997,19,89,2,12,1,07,951,825919,609519,2,,,,,, 0,  0,3,OVX,T,123,0,00,,,X,,,,,,,,20,OVX.EWE,1991
91IN05905,1989199999,S9999,19,89,2,13,1,07,143,816219,467919,6,,,,,, 0,  0,1,,5,159,187,01,,,,,,,R-4,,,1,20,4TEATS,1991
