UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
67IN00001,1957102053,57,2,U2053,0,41,561,,,,,00,,-,,07,5,, 61,108,,,144,157,2,,080,059,10,0921,110,2,440911,3,,,,,,1967,10.0
67IN00002,1962102612,62,3,U2612,0,,,,,,,,,6,,00,,,,,,,180,,,,,,10,,,,,,,,,,,1967,5.0
67IN00003,1954114335,54,2,R4335,1,21,210,,,,,25,,&,,07,1,,,073,,,96,95,6,,079, 44,11,1003,108,2,384111,8,,,,,,1967,13.0
67IN00004,1955114577,55,2,R4577,1,20,200,,,,,20,,&,,07,1,,,106,,,134,129,3,,076,059,11,1003,119,2,330211,8,,,,,,1967,12.0
67IN00005,1956114693,56,2,R4693,1,27,270,,,,,36,,&,,07,1,,,084,,,,,6,,073,044,11,0401,085,1,378911,,,,,,,1967,11.0
67IN00006,1956114697,56,2,R4697,1,27,270,,,,,37,,&,,07,1,,,077,,,150,132,3,,079,031,11,1003,068,1,378911,3,,,,,,1967,11.0
67IN00007,1956114752,56,2,R4752,1,20,200,,,,,23,,&,,07,1,, 36,096,,,153,167,2,,090,051,11,0921,111,2,330211,1,,,,,,1967,11.0
67IN00008,1956114756,56,2,R4756,1,20,200,,,,,21,,&,,07,1,,,069,,,114,140,3,,082,046,11,1003,081,2,330211,2,,,,,,1967,11.0
67IN00009,1956114787,56,2,R4787,1,23,230,,,,,18,,&,,07,1,,,081,,,112,129,3,,082,034,11,1003,080,1,416911,8,,,,,,1967,11.0
67IN00010,1957114881,57,2,R4881,1,41,230,,,,,19,,-,,07,1,,,107,,,138,144,3,,076,049,11,1003,092,2,416911,8,,,,,,1967,10.0
67IN05374,1965970252,65,1,00252,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05375,1965970253,65,1,00253,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05376,1965970254,65,1,00254,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05377,1965970255,65,1,00255,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05378,1965970256,65,1,00256,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05379,1965970257,65,1,00257,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05380,1965970258,65,1,00258,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05381,1965970259,65,1,00259,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05382,1965970260,65,1,00260,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
67IN05383,1965970261,65,1,00261,,97,,,,,,,,3,,97,,,,,,,,,,,,,97,,,,,,,,,,,1967,2.0
