ID10,UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
D16LA00001,16LA00001,16,R8656,11,,36,S0737,00,5.0,5,07,07,1,0,N,,022216,53,0,0,.,.,.,0.0,.,.,.,,,,0,53,27,,,IMM.NO.DATA,IMM,1,1,..,BLD,J,1,,1,1,1,0,0,0.0,0,2016-02-22,0.0,,,,,
D16LA00002,16LA00002,16,H8809,05,,32,H8507,05,2.0,2,30,30,1,0,N,,022716,58,2,0,.,.,.,0.0,.,.,.,,,,0,58,27,,,IMM.NO.DATA,IMM,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2016-02-27,0.0,,,,,
D16LA00003,16LA00003,16,H8809,05,,32,H8507,05,2.0,2,30,30,1,0,N,,022716,58,2,0,.,.,.,0.0,.,.,.,,,,0,58,27,,,.,IMM,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2016-02-27,0.0,,,,,
2016059272,16LA00004,16,H8545,05,,31,H8485,05,2.0,2,30,30,1,0,N,,030616,66,8,2,2,0,2,8.1,1,1,H9272,05,,30,,,,,,.,.,1,1,..,BLD,J,1,,1,1,2,1,1,1.0,62,2016-03-06,0.035,28,118,1,,
2016059273,16LA00005,16,H8545,05,,31,H8485,05,2.0,2,30,30,1,0,N,,030616,66,8,2,1,L,2,8.4,1,1,H9273,05,,30,,,,,,.,SCRS,1,1,..,BLD,J,2,,0,0,0,1,1,1.0,53,2016-03-06,0.035,32,118,1,,
D16LA00006,16LA00006,16,R9640,11,,52,S0742,00,3.0,3,07,07,1,,N,,030616,66,2,0,1,.,.,8.7,1,1,.,,,,0,66,27,,,.,IMM,1,1,..,BLD,J,1,,1,1,2,0,0,0.0,0,2016-03-06,0.0,,,,,
D16LA00007,16LA00007,16,R9640,11,,52,S0742,00,3.0,3,07,07,1,,N,,030616,66,2,0,2,.,.,5.0,1,1,.,,,,0,66,27,,,.,IMM,1,1,..,BLD,J,2,,0,0,0,0,0,0.0,0,2016-03-06,0.0,,,,,
D16LA00008,16LA00008,16,H9173,05,,e5,H8061,05,1.0,1,30,30,4,0,Y,.,030716,67,2,0,1,.,.,6.0,1,1,.,,,,0,67,27,,,.,IMM,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2016-03-07,0.0,,,,,
D16LA00009,16LA00009,16,H9173,05,,e5,H8061,05,1.0,1,30,30,4,0,Y,.,030716,67,2,0,1,.,.,5.0,1,1,.,,,,0,67,27,,,.,IMM,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2016-03-07,0.0,,,,,
2016833218,16LA00010,16,T3883,45,,24,Z3209,00,5.0,5,02,SM,1,7,Y,,030816,68,7,3,2,0,2,8.2,1,1,Z3218,83,,XT,6,68,54,,,.,IntnlHemorrhage,1,1,..,,J,1,,1,1,2,1,0,0.0,0,2016-03-08,0.0,,,,,
D16LA00011,16LA00011,16,T3883,45,,24,Z3209,00,5.0,5,02,SM,1,7,Y,,030816,68,7,3,2,.,.,9.0,1,1,.,,,,1,68,44,,,.,DAB,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2016-03-08,0.0,,,,,
D16LA00012,16LA00012,16,H9229,05,,e7,H8543,05,1.0,1,30,30,4,,Y,,030816,68,2,0,2,.,.,4.6,1,1,.,,,,0,68,27,,,.,1ST.IMM,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2016-03-08,0.0,,,,,
D16LA00013,16LA00013,16,H9229,05,,e7,H8543,05,1.0,1,30,30,4,,Y,,030816,68,2,0,2,.,.,5.1,1,1,.,,,,0,68,27,,,.,2ND.IMM,3,3,..,,J,2,,0,0,0,0,0,0.0,0,2016-03-08,0.0,,,,,
D16LA00014,16LA00014,16,H9235,05,,e8,H8715,05,1.0,1,30,30,4,0,Y,.,030816,68,0,1,2,.,.,6.3,1,1,.,,,,0,68,27,,,.,IMM,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2016-03-08,0.0,,,,,
D16LA00015,16LA00015,16,H9094,05,,e6,H8210,05,1.0,1,30,30,4,7,Y,,030916,69,2,1,1,.,.,5.6,1,1,.,,,,0,69,27,,,.,IMM,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2016-03-09,0.0,,,,,
D16LA00016,16LA00016,16,H9094,05,,e6,H8210,05,1.0,1,30,30,4,7,Y,,030916,69,2,1,.,.,.,4.0,1,1,.,,,,0,69,27,,,.,IMM.BLOB,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2016-03-09,0.0,,,,,
