UID,YR,SEX,LAMB,LB1,DATE,BRWT,SIRE,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
50LA00001,50,,,,510,0.0,0107,,0867,1,0,,8,,,,32,320,1,,0,,,,,,,11,,-,,,11,,32,1,12,,0,,,130,91,1,0,0,0,0,1950-05-10,42,47,07
50LA00002,50,1,3217,1,419,10.8,2296,1,0868,1,14,8,8,1,4,1,19,190,1,,0,,,,,,,11,,,,,11,,19,1,00,,73,,,109,11,1,1,2,1,10,1950-04-19,42,47,07
50LA00003,50,2,3218,1,419,10.2,2296,1,0868,1,14,8,8,1,4,1,19,190,2,,0,,,,,,,11,,,,,11,,19,1,00,,64,,,109,11,1,1,2,1,10,1950-04-19,42,47,07
50LA00004,50,1,3161,1,415,12.4,0107,,0906,1,0,5,8,1,5,1,32,320,1,,0,,,,,,,11,,,,,11,,32,1,26,,72,,,105,91,1,1,1,1,10,1950-04-15,42,47,07
50LA00005,50,2,3099,1,411,8.8,2296,1,0930,1,13,5,8,1,2,2,19,190,1,,0,,,,,,,11,,,,,11,,19,1,00,,66,,,101,11,1,1,1,1,10,1950-04-11,42,47,07
50LA00006,50,2,3258,1,422,11.2,0110,,0962,1,0,8,8,1,4,2,34,340,1,,0,,,,,,,11,,,,,11,,34,1,25,,71,,,112,91,1,1,2,1,10,1950-04-22,42,48,07
50LA00007,50,1,3259,1,422,11.2,0110,,0962,1,0,8,8,1,4,1,34,340,2,,0,,,,,,,11,,,,,11,,34,1,25,,75,,,112,91,1,1,2,1,10,1950-04-22,42,48,07
50LA00008,50,1,3100,1,411,9.2,2531,1,0974,1,24,5,8,1,3,2,20,200,1,,0,2,,,,,16,11,,,,,11,,20,1,18,,55,,,101,11,1,1,1,1,10,1950-04-11,42,48,07
50LA00009,50,1,3104,1,411,13.4,2296,1,0981,1,22,5,8,1,3,2,19,190,1,,0,,,,,,,11,,,,,11,,19,1,20,,94,,,101,11,1,1,1,1,10,1950-04-11,42,47,07
50LA00010,50,,,,510,0.0,2232,1,0990,1,11,,8,,,,27,270,1,,0,,,,,,,11,,-,,,11,,27,1,07,,0,,,130,11,1,0,0,0,0,1950-05-10,42,47,07
50LA00011,50,2,3237,1,421,10.4,0107,,1054,1,0,8,8,1,3,1,32,320,1,,0,,,8952,13,-,,11,,,,,11,,32,1,14,,72,,,111,91,1,1,2,1,10,1950-04-21,42,47,07
50LA00012,50,2,3238,1,421,11.2,0107,,1054,1,0,8,8,1,3,1,32,320,2,,0,,,,,,,11,,,,,11,,32,1,14,,81,,,111,91,1,1,2,1,10,1950-04-21,42,47,07
50LA00013,50,2,3102,1,411,12.2,2531,1,1057,1,24,5,8,1,2,2,20,200,1,,0,,,,,,,11,,,,,11,,20,1,19,,75,,,101,11,1,1,1,1,10,1950-04-11,42,48,07
50LA00014,50,1,3260,1,422,8.0,2594,1,1084,1,16,8,8,1,1,1,21,210,1,,0,,,,,,,11,,,,,11,,21,1,10,,82,,,112,11,1,1,2,1,10,1950-04-22,42,48,07
50LA00015,50,1,3261,1,422,8.0,2594,1,1084,1,16,8,8,1,1,1,21,210,2,,0,,,,,,,11,,,,,11,,21,1,10,,73,,,112,11,1,1,2,1,10,1950-04-22,42,48,07
50LA00016,50,2,3080,1,410,8.6,0106,,1089,1,0,8,8,1,1,1,24,240,1,,0,,,,,,,11,,,,,11,,24,1,18,,74,,,100,91,1,1,2,1,10,1950-04-10,42,47,07
50LA00017,50,2,3081,1,410,8.4,0106,,1089,1,0,8,8,1,1,1,24,240,2,,0,,,6353,13,-,,11,,,,,11,,24,1,18,,66,,,100,91,1,1,2,1,10,1950-04-10,42,47,07
50LA00018,50,,,,510,0.0,2296,1,1151,1,30,,7,,,,19,190,1,,0,,,,,,,11,,-,,,11,,19,1,23,,0,,,130,11,1,0,0,0,0,1950-05-10,43,47,07
50LA00019,50,2,3225,1,419,9.8,2232,1,1173,1,18,8,7,1,3,2,27,270,1,6,0,,,6512,60,-,,11,,,,,11,,27,1,09,,0,,,109,11,1,1,2,1,0,1950-04-19,43,47,07
50LA00020,50,2,3226,1,419,9.8,2232,1,1173,1,18,8,7,1,3,2,27,270,2,,0,,,,,,,11,,,,,11,,27,1,09,,76,,,109,11,1,1,2,1,10,1950-04-19,43,47,07
50LA00021,50,1,3143,1,414,11.2,2296,1,1191,1,10,5,7,1,2,4,19,190,1,,0,,,,,,,11,,,,,11,,19,1,00,,79,,,104,11,1,1,1,1,10,1950-04-14,43,47,07
50LA00022,50,2,3191,1,417,13.2,0110,,1211,1,0,5,7,1,4,1,34,340,1,,0,,,,,,,11,,,,,11,,34,1,19,,81,,,107,91,1,1,1,1,10,1950-04-17,43,48,07
50LA00023,50,1,3246,1,421,9.6,2744,1,1225,1,18,5,7,1,5,1,23,230,1,6,0,,,1149,13,+,,11,,,,,11,,23,1,19,,0,,,111,11,1,1,1,1,0,1950-04-21,43,48,07
50LA00024,50,2,3278,1,426,9.4,2232,1,1229,1,33,5,7,3,2,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,13,,78,,,116,11,1,1,1,1,10,1950-04-26,43,47,07
50LA00025,50,1,3061,1,406,13.0,0107,,1243,1,0,5,7,1,4,1,32,320,1,,0,,,9686,13,-,,11,,,,,11,,32,1,13,,90,,,96,91,1,1,1,1,10,1950-04-06,43,47,07
50LA00026,50,2,3113,1,412,10.8,2531,1,1297,1,22,5,7,1,4,1,20,200,1,,0,2,,,,,16,11,,,,,11,,20,1,08,,65,,,102,11,1,1,1,1,10,1950-04-12,43,48,07
