UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,DEC6,YRREC
95RA00556,Z2855,81,94,1,97,97,972,,1,1,2.0,H,87,139,130,0.964,133,133,,-0.021,0.0,0,0.0,,,0.0,,,1,,1.33,140.0,Z0468,81,0.0,0.0,Z1599,81,0.0,0.0,170,191,0.091,1.0,"SIZE,JADG",3,BF,0.0,0.0,,,W,,,,,,,,,,,,,,,1995
95RA00557,Z2857,81,94,1,97,97,971,,2,2,2.0,H,87,102,130,0.677,179,179,,0.266,0.0,0,0.0,,,0.0,,,2,,2.33,141.3,09217,SY,0.0,0.0,Z1466,81,0.0,0.0,216,191,0.336,1.0,,1,BF,0.0,0.0,,,W,S1,A,100.0,972,C,75,4,90,0,E,,,,,1995
95RA00558,Z2858,81,94,1,97,97,971,,2,2,2.0,H,87,100,130,0.661,157,157,,0.197,0.0,0,0.0,,,0.0,,,1,,2.33,141.3,09217,SY,0.0,0.0,Z1466,81,0.0,0.0,188,191,0.26,1.0,,1,BF,0.0,0.0,,,W,S3,AA,,,M,75,4,90,0,E,,,,,1995
95RA00559,Z2860,81,94,1,97,97,972,,2,1,2.0,H,87,126,130,0.888,157,157,,0.107,0.0,0,0.0,,,0.0,,,1,,1.5,78.0,Z0468,81,0.0,0.0,Z1288,81,0.0,0.0,183,191,0.168,1.0,,1,BF,0.0,0.0,,,W,S4,AAA,,,C,65,3,90,0,E,,,,,1995
95RA00560,Z2872,81,94,1,97,97,971,,2,2,4.0,H,90,112,127,0.772,170,170,,0.2,0.0,0,0.0,,,0.0,,,1,,2.0,148.8,09217,SY,0.0,0.0,X9752,80,0.0,0.0,201,191,0.263,1.0,HI.EWE RECORD,1,BF,0.0,0.0,,,W,S2,AA,,,W,75,4,90,0,S,,,,,1995
95RA00561,Z2879,81,94,1,97,97,971,,2,2,5.0,H,90,112,127,0.772,178,178,,0.228,0.0,0,0.0,,,0.0,,,2,,1.83,123.2,09217,SY,0.0,0.0,X8181,80,0.0,0.0,214,191,0.301,1.0,,1,BF,0.0,0.0,,,W,S1,A,,,C,70,3,90,0,E,,,,,1995
95RA00562,Z2882,81,94,1,97,97,971,,1,2,6.0,H,90,107,127,0.74,154,154,,0.162,0.0,0,0.0,,,0.0,,,1,,1.17,110.8,09217,SY,0.0,0.0,X6084,80,0.0,0.0,192,191,0.251,1.0,,1,BF,0.0,0.0,,,W,S4,AAA,,,C,65,4,90,0,E,,,,,1995
95RA00563,Z2891,81,94,1,97,97,972,,2,2,6.0,H,90,114,127,0.797,143,143,,0.1,0.0,0,0.0,,,0.0,,,1,,1.5,136.2,Z0468,81,0.0,0.0,X7919,80,0.0,0.0,180,191,0.195,1.0,,1,BF,0.0,0.0,,,W,S2,AA,,,M,60,3,90,0,E,,,,,1995
95RA00564,Z2892,81,94,1,97,97,971,,2,1,2.0,H,91,115,126,0.824,159,159,,0.152,0.0,0,0.0,,,0.0,,,3,,1.33,71.3,09217,SY,0.0,0.0,Z1593,81,0.0,0.0,203,191,0.26,1.0,"RCVR,SHEDWOOL",1,BF,0.0,0.0,,,W,D4,DUD,,,M,65,3,90,0,E,,,,MKT,1995
95RA00565,Z2902,81,94,1,97,97,971,,2,2,5.0,H,93,101,124,0.718,148,148,,0.162,0.0,0,0.0,,,0.0,,,1,,2.0,175.8,09217,SY,0.0,0.0,X8284,80,0.0,0.0,200,191,0.292,1.0,HI.EWE RECORD,1,BF,0.0,0.0,,,W,S3,AA,89.0,974,C,70,4,90,0,E,,,,,1995
95RA00566,Z2908,81,94,1,97,97,972,,2,2,2.0,H,94,111,123,0.798,153,153,,0.145,0.0,0,0.0,,,0.0,,,1,,1.67,112.0,Z0468,81,0.0,0.0,Z1324,81,0.0,0.0,195,191,0.248,1.0,,1,BF,0.0,0.0,,,W,S4,AAA,97.0,971,C,75,4,90,0,E,,,,,1995
95RA00567,Z2909,81,94,1,97,97,972,,2,2,2.0,H,94,105,123,0.75,110,110,,0.017,0.0,0,0.0,,,0.0,,,1,,1.67,112.0,Z0468,81,0.0,0.0,Z1324,81,0.0,0.0,154,191,0.145,1.0,"SIZE,JADG",3,BF,0.0,0.0,,,W,,,,,,,,,,,,,,,1995
95RA00568,Z2921,81,94,1,97,97,971,,3,1,4.0,H,95,120,122,0.884,166,166,,0.159,0.0,0,0.0,,,0.0,,,1,,2.8,140.8,09217,SY,0.0,0.0,X9773,80,0.0,0.0,199,191,0.233,1.0,,1,BF,0.0,0.0,,,W,S2,AA,,,C,75,4,95,0,E,,,,,1995
95RA00569,Z2936,81,94,1,97,97,972,,3,2,3.0,H,97,99,120,0.738,144,144,,0.155,0.0,0,0.0,,,0.0,,,1,,2.0,153.8,Z0468,81,0.0,0.0,Z0683,81,0.0,0.0,185,191,0.254,1.0,HI.EWE RECORD,1,BF,0.0,0.0,,,W,S2,AA,,,M,60,3,70,10,Q,,,,,1995
