UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,PD_DEC,FERT,LOT,NAX,STUDY,STUDY2,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,FLBVB,FLBVG,FLBVR,SAGE
02RA00001,00422,00,00,1,88,30,L41,.,2,1,6.5,M,133,96,95,0.905,198,166,68,0.25,0.0,0.0,60,4.8,4.8,0.0242,0.0,0.0,0.0,0,.,,.,1.83,120.6,A4328,04,A0558,04,,0,0.283,2.0,"X,ABS.JAW",P,LIM,,,,,D4,DUD,,SCT,,LIB,,HOMO,MKT,,,,,,,,,,,6,11,10,2002,93,0113,-1.6132,-1.2325,-0.0121,
02RA00002,00744,00,00,1,88,30,L45,.,3,2,1.5,M,140,74,88,0.727,194,158,68,0.3,0.0,0.0,58,8.8,8.8,0.0454,0.0,0.0,0.0,0,.,,.,2.3,145.5,A5346,04,A5885,04,,0,0.322,2.0,Polypay Ram,P,LIM,,,,,S2,AA,,SCT,,LIB,,HETR,MKT,,,,,,,,,,,1,3,2,2002,,,-1.2429,-0.7426,-0.0109,
02RA00003,01117,00,00,1,88,30,L41,.,2,2,4.0,M,145,73,83,0.759,167,132,68,0.211,0.0,0.0,62,7.6,7.6,0.0455,0.0,0.0,0.0,0,.,,.,2.15,130.5,A4328,04,A4345,04,,0,0.261,2.0,FIX tag 01117,P,LIM,,,,,D4,DUD,,SCT,,LIB,,HOMO,MKT,,,,,,,,,,,4,9,7,2002,,,-1.1711,-1.1335,-0.0097,
02RA00004,01465,00,00,1,68,06,L05,G,1,1,5.0,M,151,72,77,0.805,173,142,68,0.25,0.0,0.0,58,10.6,10.6,,0.0,0.0,0.0,0,.,,.,1.39,79.7,K0116,64,K8969,63,,0,0.289,2.0,Columbia Ram,3,ADG,US,,,,S1,A,,SCT,,LIB,,BISX,MKT,,,,,,,,,,,4,6,4,2002,93,0820,,,,
02RA00005,01541,00,00,1,68,06,L05,G,2,1,3.0,M,155,72,73,0.849,216,167,68,0.339,0.0,0.0,60,12.2,12.2,,0.0,0.0,0.0,0,.,,.,1.66,117.6,K0116,64, 8580,00,,0,0.331,2.0,Columbia Ram,P,ADG,US,,,,S1,A,,SCT,,LIB,,HETR,MKT,,,,,,,,,,,2,4,3,2002,,,,,,
02RA00006,90527,09,99,1,88,30,L44,.,2,2,7.0,*,132,82,111,0.649,0,128,68,0.174,0.0,0.0,60,10.0,10.0,0.0,0.0,0.0,0.0,0,,,.,2.12,139.9,A3678,04,L8860,03,,0,0.248,3.0,DUD,V,LIM,,,,,D4,DUD,,ORE,,DUD,,B 26,HOMO,,,,,,,,,,,7,14,14,2002,93,0423,-0.1347,0.0298,-0.0026,
02RA00007,91212,09,99,1,68,06,L01,G,1,1,7.0,M,146,93,97,0.856,247,176,68,0.313,0.0,0.0,60,12.4,12.4,,0.0,0.0,0.0,0,,,.,1.63,107.2,J0093,00,K6394,63,,0,0.352,3.0,DUD,3,JAR,JAR,,,,D4,DUD,,ORE,,DUD,,P 12,DUD,,,,,,,,,,,6,11,8,2002,93,0820,,,,
02RA00008,A4142,04,97,1,FP,71,ai0,F,3,2,2.0,M,104,85,114,0.668,228,150,68,0.222,0.0,0.0,56,9.2,9.2,,0.0,0.0,0.0,0,.,1,.,2.37,144.4, 0283,00,A2097,04,241,259,0.249,5.0,RAM      EFxP,2,FXP,FXP,,,-,S4,AAA,STUD,,90.0, 91,,EFxP,.,,,,,,,,,0,,2,5,4,2002,92,0919,,,,
02RA00009,A4203,04,97,1,FP,71,ai0,F,2,2,7.0,M,105,94,113,0.704,252,185,68,0.311,0.0,0.0,54,7.0,7.0,,0.0,0.0,0.0,0,.,1,.,1.79,112.5, 0214,00,L7754,03,273,259,0.32,5.0,"ABS.JAW, EFxP",2,FXP,FXP,,,-,S2,AA,STUD,,90.0,  X,,EFxP,.,,,,,,,,,0,,6,11,8,2002,93,0930,,,,
02RA00010,A5377,04,98,1,82,30,28,C,3,2,5.0,M,108,74,107,0.618,187,0,68,0.0,0.0,0.0,56,7.6,7.6,0.0406,0.0,0.0,0.0,0,.,1,.,2.03,104.5,A3176,04,A3294,04,,0,0.27,4.0,"X,ABS.HEAD",3,CTL,,,,,D4,DUD,,TZ,,DUD,,TEAZ,TEAZ,,,,,,,,,,,5,11,7,2002,93,0528,-1.3111,-1.0151,-0.0091,
